Address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"6 FERRELL ROAD, ROSICLARE, IL, 62982",37.417713,-88.354451,0.5,place,,,"Rosiclare, IL 62982",,,,,Rosiclare,IL,"Hardin County",62982,US,"TIGER/Line® dataset from the US Census Bureau"
"303 N JACKSON STREET, MORRISON, IL, 61270",41.809051,-89.957828,1,rooftop,"303 N Jackson St",,"Morrison, IL 61270",303,"N Jackson St",,,Morrison,IL,"Whiteside County",61270,US,Whiteside
"900 NORTH WASHINGTON STREET, DU QUOIN, IL, 62832",38.024686,-89.236468,1,range_interpolation,"900 N Washington St",,"Du Quoin, IL 62832",900,"N Washington St",,,"Du Quoin",IL,"Perry County",62832,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 E TREMONT STREET, HILLSBORO, IL, 62049",39.15347,-89.481373,1,range_interpolation,"1200 E Tremont St",,"Hillsboro, IL 62049",1200,"E Tremont St",,,Hillsboro,IL,"Montgomery County",62049,US,"TIGER/Line® dataset from the US Census Bureau"
"238 SOUTH CONGRESS STREET, RUSHVILLE, IL, 62681",40.117883,-90.564125,1,rooftop,"238 S Congress St",,"Rushville, IL 62681",238,"S Congress St",,,Rushville,IL,"Schuyler County",62681,US,Schuyler
"2 SOUTH HOSPITAL DRIVE, MURPHYSBORO, IL, 62966",37.772877,-89.321198,0.8,nearest_rooftop_match,"7 S Hospital Dr",,"Murphysboro, IL 62966",7,"S Hospital Dr",,,Murphysboro,IL,"Jackson County",62966,US,Jackson
"901 S GRANT STREET, HARVARD, IL, 60033",42.426241,-88.606898,0.95,rooftop,"901 Grant St",,"Harvard, IL 60033",901,"Grant St",,,Harvard,IL,"McHenry County",60033,US,Mchenry
"12866 TROXLER AVENUE, HIGHLAND, IL, 62249",38.756964,-89.669338,1,range_interpolation,"12866 Troxler Ave",,"Highland, IL 62249",12866,"Troxler Ave",,,Highland,IL,"Madison County",62249,US,"TIGER/Line® dataset from the US Census Bureau"
"530 PARK AVENUE EAST, PRINCETON, IL, 61356",41.367194,-89.456405,1,rooftop,"530 Park Ave E",,"Princeton, IL 61356",530,"Park Ave E",,,Princeton,IL,"Bureau County",61356,US,Bureau
"1900 STATE ST, CHESTER, IL, 62233",37.918045,-89.813336,1,rooftop,"1900 State St",,"Chester, IL 62233",1900,"State St",,,Chester,IL,"Randolph County",62233,US,Randolph
"201 EAST PLEASANT STREET, TAYLORVILLE, IL, 62568",39.553892,-89.294305,1,range_interpolation,"201 E Pleasant St",,"Taylorville, IL 62568",201,"E Pleasant St",,,Taylorville,IL,"Christian County",62568,US,"TIGER/Line® dataset from the US Census Bureau"
"101 E NINTH STREET, PANA, IL, 62557",39.379937,-89.082959,1,range_interpolation,"101 E 9th St",,"Pana, IL 62557",101,"E 9th St",,,Pana,IL,"Christian County",62557,US,"TIGER/Line® dataset from the US Census Bureau"
"517 NORTH MAIN STREET, ANNA, IL, 62906",37.465376,-89.245183,0.7,street_center,"N Main St",,"Anna, IL 62906",,"N Main St",,,Anna,IL,"Union County",62906,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 NORTH ALLEN STREET, ROBINSON, IL, 62454",39.012182,-87.749974,0.7,street_center,"N Allen St",,"Robinson, IL 62454",,"N Allen St",,,Robinson,IL,"Crawford County",62454,US,"TIGER/Line® dataset from the US Census Bureau"
"2200 STATE ST, LAWRENCEVILLE, IL, 62439",38.728489,-87.694098,1,rooftop,"2200 State St",,"Lawrenceville, IL 62439",2200,"State St",,,Lawrenceville,IL,"Lawrence County",62439,US,Lawrence
"1201 RICKER DRIVE, SALEM, IL, 62881",38.641616,-88.947543,1,range_interpolation,"1201 Ricker Dr",,"Salem, IL 62881",1201,"Ricker Dr",,,Salem,IL,"Marion County",62881,US,"TIGER/Line® dataset from the US Census Bureau"
"650 W TAYLOR ST, VANDALIA, IL, 62471",38.970483,-89.098326,1,range_interpolation,"650 W Taylor St",,"Vandalia, IL 62471",650,"W Taylor St",,,Vandalia,IL,"Fayette County",62471,US,"TIGER/Line® dataset from the US Census Bureau"
"20733 N BROAD STREET, CARLINVILLE, IL, 62626",39.298431,-89.882883,1,rooftop,"20733 N Broad St",,"Carlinville, IL 62626",20733,"N Broad St",,,Carlinville,IL,"Macoupin County",62626,US,Macoupin
"325 SPRING STREET, RED BUD, IL, 62278",38.209311,-89.996505,1,rooftop,"325 Spring St",,"Red Bud, IL 62278",325,"Spring St",,,"Red Bud",IL,"Randolph County",62278,US,Randolph
"818 E BROADWAY, SPARTA, IL, 62286",38.124498,-89.691418,1,rooftop,"818 E Broadway St",,"Sparta, IL 62286",818,"E Broadway St",,,Sparta,IL,"Randolph County",62286,US,Randolph
"1215 FRANCISCAN DR, LITCHFIELD, IL, 62056",39.17982,-89.640626,1,range_interpolation,"1215 Franciscan Dr",,"Litchfield, IL 62056",1215,"Franciscan Dr",,,Litchfield,IL,"Montgomery County",62056,US,"TIGER/Line® dataset from the US Census Bureau"
"911 STACY BURK DR, FLORA, IL, 62839",38.681045,-88.472843,1,range_interpolation,"911 Stacy Burke Dr",,"Flora, IL 62839",911,"Stacy Burke Dr",,,Flora,IL,"Clay County",62839,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 W WALNUT ST, JACKSONVILLE, IL, 62650",39.746334,-90.260233,1,rooftop,"1600 W Walnut St",,"Jacksonville, IL 62650",1600,"W Walnut St",,,Jacksonville,IL,"Morgan County",62650,US,Morgan
"200 FAIRMAN STREET, WATSEKA, IL, 60970",40.765547,-87.732669,0.88,range_interpolation,"200 E Fairman Ave",,"Watseka, IL 60970",200,"E Fairman Ave",,,Watseka,IL,"Iroquois County",60970,US,"TIGER/Line® dataset from the US Census Bureau"
"200 S CEDAR ST, SHELBYVILLE, IL, 62565",39.405902,-88.807115,1,range_interpolation,"200 S Cedar St",,"Shelbyville, IL 62565",200,"S Cedar St",,,Shelbyville,IL,"Shelby County",62565,US,"TIGER/Line® dataset from the US Census Bureau"
"800 EAST LOCUST STREET, OLNEY, IL, 62450",38.735186,-88.077089,1,range_interpolation,"800 E Locust St",,"Olney, IL 62450",800,"E Locust St",,,Olney,IL,"Richland County",62450,US,"TIGER/Line® dataset from the US Census Bureau"
