"State Abbreviation","State Name","Reporting Period","State Expanded Medicaid","Preliminary or Updated","Final Report","New Applications Submitted to Medicaid and CHIP Agencies","New Applications Submitted to Medicaid and CHIP Agencies - footnotes","Applications for Financial Assistance Submitted to the State Based Marketplace","Applications for Financial Assistance Submitted to the State Based Marketplace - footnotes","Total Applications for Financial Assistance Submitted at State Level","Total Applications for Financial Assistance Submitted at State Level - footnotes","Individuals Determined Eligible for Medicaid at Application","Individuals Determined Eligible for Medicaid at Application - footnotes","Individuals Determined Eligible for CHIP at Application","Individuals Determined Eligible for CHIP at Application - footnotes","Total Medicaid and CHIP Determinations","Total Medicaid and CHIP Determinations - footnotes","Medicaid and CHIP Child Enrollment","Medicaid and CHIP Child Enrollment - footnotes","Total Medicaid and CHIP Enrollment","Total Medicaid and CHIP Enrollment - footnotes","Total Medicaid Enrollment","Total Medicaid Enrollment - footnotes","Total CHIP Enrollment","Total CHIP Enrollment - footnotes","Total Adult Medicaid Enrollment","Total Adult Medicaid Enrollment - footnotes","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours - footnotes","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days - footnotes","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days - footnotes","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days - footnotes","Total Medicaid and CHIP Determinations Processed in More than 45 Days","Total Medicaid and CHIP Determinations Processed in More than 45 Days - footnotes","Total Call Center Volume (Number of Calls)","Total Call Center Volume (Number of Calls) - footnotes","Average Call Center Wait Time (Minutes)","Average Call Center Wait Time (Minutes) - footnotes","Average Call Center Abandonment Rate","Average Call Center Abandonment Rate - footnotes"
IL,Illinois,201810,Y,P,N,55168,,0,,55168,,49371,,4996,,54367,,1405990,,3045999,,2808656,,237343,,,,,,,,,,,,,,,,,,,
IL,Illinois,201810,Y,U,Y,55168,,0,,55168,,49371,,4996,,54367,,1405990,,3045999,,2808656,,237343,,,,,,,,,,,,,,,,,,,
IL,Illinois,201811,Y,P,N,49244,,0,,49244,,39512,,4190,,43702,,1395501,,3020847,,2779840,,241007,,,,,,,,,,,,,,,,,,,
IL,Illinois,201811,Y,U,Y,49244,,0,,49244,,39512,,4190,,43702,,1395501,,3020847,,2779840,,241007,,,,,,,,,,,,,,,,,,,
IL,Illinois,201812,Y,P,N,47680,,0,,47680,,40874,,4255,,45129,,1384337,,2996633,,2751624,,245009,,,,,,,,,,,,,,,,,,,
IL,Illinois,201812,Y,U,Y,47680,,0,,47680,,40874,,4255,,45129,,1384337,,2996633,,2751624,,245009,,,,,,,,,,,,,,,,,,,
IL,Illinois,201901,Y,P,N,51212,,0,,51212,,43859,,4752,,48611,,1379502,,2984833,,2739921,,244912,,,,,,,,,,,,,,,,,,,
IL,Illinois,201901,Y,U,Y,51212,,0,,51212,,43859,,4752,,48611,,1379502,,2984833,,2739921,,244912,,,,,,,,,,,,,,,,,,,
IL,Illinois,201902,Y,P,N,48822,,0,,48822,,36296,,3752,,40048,,1371479,,2959871,,2712626,,247245,,,,7750,,5839,,10227,,2541,,12550,,,,,,,
IL,Illinois,201902,Y,U,Y,48822,,0,,48822,,36296,,3752,,40048,,1371479,,2959871,,2712626,,247245,,,,7750,,5839,,10227,,2541,,12550,,,,,,,
IL,Illinois,201903,Y,P,N,52867,,0,,52867,,44574,,4288,,48862,,1370249,,2953478,,2702681,,250797,,,,9523,,7532,,13223,,2882,,13611,,,,,,,
IL,Illinois,201903,Y,U,Y,52867,,0,,52867,,44574,,4288,,48862,,1370249,,2953478,,2702681,,250797,,,,9523,,7532,,13223,,2882,,13611,,,,,,,
IL,Illinois,201904,Y,P,N,52798,,0,,52798,,49648,,4726,,54374,,1372966,,2959731,,2706097,,253634,,,,11778,,7565,,13502,,3433,,16685,,,,,,,
IL,Illinois,201904,Y,U,Y,52798,,0,,52798,,49648,,4726,,54374,,1372966,,2959731,,2706097,,253634,,,,11778,,7565,,13502,,3433,,16685,,,,,,,
IL,Illinois,201905,Y,P,N,52419,,0,,52419,,50759,,5198,,55957,,1370956,,2952683,,2700146,,252537,,,,,,,,,,,,,,,,,,,
IL,Illinois,201905,Y,U,Y,52419,,0,,52419,,50759,,5198,,55957,,1370956,,2952683,,2700146,,252537,,,,,,,,,,,,,,,,,,,
IL,Illinois,201906,Y,P,N,51483,,0,,51483,,45379,,4268,,49647,,1371815,,2954400,,2699965,,254435,,,,,,,,,,,,,,,,,,,
IL,Illinois,201906,Y,U,Y,51483,,0,,51483,,45379,,4268,,49647,,1371815,,2954400,,2699965,,254435,,,,,,,,,,,,,,,,,,,
IL,Illinois,201907,Y,P,N,62434,,0,,62434,,49417,,4694,,54111,,1371270,,2956137,,2698856,,257281,,,,,,,,,,,,,,,,,,,
IL,Illinois,201907,Y,U,Y,62434,,0,,62434,,49417,,4694,,54111,,1371270,,2956137,,2698856,,257281,,,,,,,,,,,,,,,,,,,
IL,Illinois,201908,Y,P,N,63234,,0,,63234,,50157,,5174,,55331,,1372769,,2962259,,2702676,,259583,,,,,,,,,,,,,,,,,,,
IL,Illinois,201908,Y,U,Y,63234,,0,,63234,,50157,,5174,,55331,,1372769,,2962259,,2702676,,259583,,,,,,,,,,,,,,,,,,,
IL,Illinois,201909,Y,P,N,57146,,0,,57146,,44704,,4590,,49294,,1372042,,2960638,,2697338,,263300,,,,,,,,,,,,,,,,,,,
IL,Illinois,201909,Y,U,Y,57146,,0,,57146,,44704,,4590,,49294,,1372042,,2960638,,2697338,,263300,,,,,,,,,,,,,,,,,,,
IL,Illinois,201910,Y,P,N,61506,,0,,61506,,48308,,4643,,52951,,1371721,,2961049,,2694439,,266610,,,,,,,,,,,,,,,,,,,
IL,Illinois,201910,Y,U,Y,61506,,0,,61506,,48308,,4643,,52951,,1371721,,2961049,,2694439,,266610,,,,,,,,,,,,,,,,,,,
IL,Illinois,201911,Y,P,N,52945,,0,,52945,,43158,,4585,,47743,,1369323,,2955990,,2686995,,268995,,,,,,,,,,,,,,,,,,,
IL,Illinois,201911,Y,U,Y,52945,,0,,52945,,43158,,4585,,47743,,1369323,,2955990,,2686995,,268995,,,,,,,,,,,,,,,,,,,
IL,Illinois,201912,Y,P,N,52593,,0,,52593,,40466,,4233,,44699,,1368609,,2956343,,2686085,,270258,,,,,,,,,,,,,,,,,,,
IL,Illinois,201912,Y,U,Y,52593,,0,,52593,,40466,,4233,,44699,,1368609,,2956343,,2686085,,270258,,,,,,,,,,,,,,,,,,,
IL,Illinois,202001,Y,P,N,63018,,0,,63018,,47118,,4552,,51670,,1368157,,2953326,,2686003,,267323,,,,,,,,,,,,,,,,,,,
IL,Illinois,202001,Y,U,Y,63018,,0,,63018,,47118,,4552,,51670,,1368157,,2953326,,2686003,,267323,,,,,,,,,,,,,,,,,,,
IL,Illinois,202002,Y,P,N,53049,,0,,53049,,44065,,4439,,48504,,1365783,,2947846,,2680372,,267474,,,,13444,,6757,,10985,,2829,,12246,,,,,,,
IL,Illinois,202002,Y,U,Y,53049,,0,,53049,,44065,,4439,,48504,,1365783,,2947846,,2680372,,267474,,,,13444,,6757,,10985,,2829,,12246,,,,,,,
IL,Illinois,202003,Y,P,N,72554,,0,,72554,,47131,,3981,,51112,,1366162,,2969831,,2689438,,280393,,,,11616,,13827,,11321,,2486,,9344,,,,,,,
IL,Illinois,202003,Y,U,Y,72554,,0,,72554,,47131,,3981,,51112,,1366162,,2969831,,2689438,,280393,,,,11616,,13827,,11321,,2486,,9344,,,,,,,
IL,Illinois,202004,Y,P,N,82039,,0,,82039,,77317,,5570,,82887,,1378170,,3033816,,2750902,,282914,,,,13602,,26547,,23472,,3978,,12901,,,,,,,
IL,Illinois,202004,Y,U,Y,82039,,0,,82039,,77317,,5570,,82887,,1378170,,3033816,,2750902,,282914,,,,13602,,26547,,23472,,3978,,12901,,,,,,,
IL,Illinois,202005,Y,P,N,49200,,0,,49200,,60210,,5848,,66058,,1387714,,3071698,,2784830,,286868,,,,,,,,,,,,,,,,,,,
IL,Illinois,202005,Y,U,Y,49200,,0,,49200,,60210,,5848,,66058,,1387714,,3071698,,2784830,,286868,,,,,,,,,,,,,,,,,,,
IL,Illinois,202006,Y,P,N,43534,,0,,43534,,39185,,3710,,42895,,1397809,,3103953,,2812874,,291079,,,,,,,,,,,,,,,,,,,
IL,Illinois,202006,Y,U,Y,43534,,0,,43534,,39185,,3710,,42895,,1397809,,3103953,,2812874,,291079,,,,,,,,,,,,,,,,,,,
IL,Illinois,202007,Y,P,N,50736,,0,,50736,,31155,,2843,,33998,,1408845,,3139748,,2845037,,294711,,,,,,,,,,,,,,,,,,,
IL,Illinois,202007,Y,U,Y,50736,,0,,50736,,31155,,2843,,33998,,1408845,,3139748,,2845037,,294711,,,,,,,,,,,,,,,,,,,
IL,Illinois,202008,Y,P,N,54606,,0,,54606,,34560,,3357,,37917,,1420232,,3168080,,2870069,,298011,,,,,,,,,,,,,,,,,,,
IL,Illinois,202008,Y,U,Y,54606,,0,,54606,,34560,,3357,,37917,,1420232,,3168080,,2870069,,298011,,,,,,,,,,,,,,,,,,,
IL,Illinois,202009,Y,P,N,51872,,0,,51872,,33362,,3342,,36704,,1429626,,3198170,,2897180,,300990,,,,,,,,,,,,,,,,,,,
IL,Illinois,202009,Y,U,Y,51872,,0,,51872,,33362,,3342,,36704,,1429626,,3198170,,2897180,,300990,,,,,,,,,,,,,,,,,,,
IL,Illinois,202010,Y,P,N,53691,,0,,53691,,33753,,3262,,37015,,1437185,,3227552,,2923915,,303637,,,,,,,,,,,,,,,,,,,
IL,Illinois,202010,Y,U,Y,53691,,0,,53691,,33753,,3262,,37015,,1437185,,3227552,,2923915,,303637,,,,,,,,,,,,,,,,,,,
IL,Illinois,202011,Y,P,N,50531,,0,,50531,,26526,,2238,,28764,,1446720,,3274771,,2968245,,306526,,,,,,,,,,,,,,,,,,,
IL,Illinois,202011,Y,U,Y,50531,,0,,50531,,26526,,2238,,28764,,1446720,,3274771,,2968245,,306526,,,,,,,,,,,,,,,,,,,
IL,Illinois,202012,Y,P,N,45993,,0,,45993,,32482,,2855,,35337,,1455742,,3317815,,3008423,,309392,,,,,,,,,,,,,,,,,,,
IL,Illinois,202012,Y,U,Y,45993,,0,,45993,,32482,,2855,,35337,,1455742,,3317815,,3008423,,309392,,,,,,,,,,,,,,,,,,,
IL,Illinois,202101,Y,P,N,48660,,0,,48660,,31462,,3081,,34543,,1461043,,3339928,,3028486,,311442,,,,,,,,,,,,,,,,,,,
IL,Illinois,202101,Y,U,Y,48660,,0,,48660,,31462,,3081,,34543,,1461043,,3339928,,3028486,,311442,,,,,,,,,,,,,,,,,,,
IL,Illinois,202102,Y,P,N,42454,,0,,42454,,31944,,4024,,35968,,1465580,,3354800,,3041238,,313562,,,,8557,,8057,,4583,,692,,18792,,,,,,,
IL,Illinois,202102,Y,U,Y,42454,,0,,42454,,31944,,4024,,35968,,1465580,,3354800,,3041238,,313562,,,,8557,,8057,,4583,,692,,18792,,,,,,,
IL,Illinois,202103,Y,P,N,48353,,0,,48353,,33846,,3896,,37742,,1471379,,3373256,,3056711,,316545,,,,9327,,9304,,10038,,1948,,9598,,,,,,,
IL,Illinois,202103,Y,U,Y,48353,,0,,48353,,33846,,3896,,37742,,1471379,,3373256,,3056711,,316545,,,,9327,,9304,,10038,,1948,,9598,,,,,,,
IL,Illinois,202104,Y,P,N,43438,,0,,43438,,25827,,2379,,28206,,1477524,,3395134,,3075237,,319897,,,,7596,,7929,,6239,,841,,3606,,,,,,,
IL,Illinois,202104,Y,U,Y,43438,,0,,43438,,25827,,2379,,28206,,1477524,,3395134,,3075237,,319897,,,,7596,,7929,,6239,,841,,3606,,,,,,,
IL,Illinois,202105,Y,P,N,41361,,0,,41361,,22814,,2157,,24971,,1476295,,3398838,,3077986,,320852,,,,,,,,,,,,,,,,,,,
IL,Illinois,202105,Y,U,Y,41361,,0,,41361,,22814,,2157,,24971,,1476295,,3398838,,3077986,,320852,,,,,,,,,,,,,,,,,,,
IL,Illinois,202106,Y,P,N,46144,,0,,46144,,25346,,2127,,27473,,1480847,,3417591,,3095163,,322428,,,,,,,,,,,,,,,,,,,
IL,Illinois,202106,Y,U,Y,46144,,0,,46144,,25346,,2127,,27473,,1480847,,3417591,,3095163,,322428,,,,,,,,,,,,,,,,,,,
IL,Illinois,202107,Y,P,N,47726,,0,,47726,,25209,,2225,,27434,,1487168,,3440508,,3116063,,324445,,,,,,,,,,,,,,,,,,,
IL,Illinois,202107,Y,U,Y,47726,,0,,47726,,25209,,2225,,27434,,1487168,,3440508,,3116063,,324445,,,,,,,,,,,,,,,,,,,
IL,Illinois,202108,Y,P,N,50207,,0,,50207,,27211,,2482,,29693,,1494044,,3465672,,3139292,,326380,,,,,,,,,,,,,,,,,,,
IL,Illinois,202108,Y,U,Y,50207,,0,,50207,,27211,,2482,,29693,,1494044,,3465672,,3139292,,326380,,,,,,,,,,,,,,,,,,,
IL,Illinois,202109,Y,P,N,49510,,0,,49510,,26994,,2415,,29409,,1498529,,3483116,,3154996,,328120,,,,,,,,,,,,,,,,,,,
IL,Illinois,202109,Y,U,Y,49510,,0,,49510,,26994,,2415,,29409,,1498529,,3483116,,3154996,,328120,,,,,,,,,,,,,,,,,,,
IL,Illinois,202110,Y,P,N,51765,,0,,51765,,26938,,2168,,29106,,1502856,,3501788,,3172072,,329716,,,,,,,,,,,,,,,,,,,
IL,Illinois,202110,Y,U,Y,51765,,0,,51765,,26938,,2168,,29106,,1502856,,3501788,,3172072,,329716,,,,,,,,,,,,,,,,,,,
IL,Illinois,202111,Y,P,N,49001,,0,,49001,,25501,,2287,,27788,,1508632,,3531035,,3201784,,329251,,,,,,,,,,,,,,,,,,,
IL,Illinois,202111,Y,U,Y,49001,,0,,49001,,25501,,2287,,27788,,1508632,,3531035,,3201784,,329251,,,,,,,,,,,,,,,,,,,
IL,Illinois,202112,Y,P,N,44940,,0,,44940,,27756,,3303,,31059,,1512084,,3555289,,3224583,,330706,,,,,,,,,,,,,,,,,,,
IL,Illinois,202112,Y,U,Y,44940,,0,,44940,,27756,,3303,,31059,,1512084,,3555289,,3224583,,330706,,,,,,,,,,,,,,,,,,,
IL,Illinois,202201,Y,P,N,48710,,0,,48710,,27948,,2703,,30651,,1516780,,3577276,,3244603,,332673,,,,9532,,9192,,7295,,1676,,3326,,,,,,,
IL,Illinois,202201,Y,U,Y,48710,,0,,48710,,27948,,2703,,30651,,1516780,,3577276,,3244603,,332673,,,,9532,,9192,,7295,,1676,,3326,,,,,,,
IL,Illinois,202202,Y,P,N,39238,,0,,39238,,26534,,1936,,28470,,1520273,,3586291,,3251696,,334595,,,,8207,,6436,,6644,,2554,,5417,,,,,,,
IL,Illinois,202202,Y,U,Y,39238,,0,,39238,,26534,,1936,,28470,,1520273,,3586291,,3251696,,334595,,,,8207,,6436,,6644,,2554,,5417,,,,,,,
IL,Illinois,202203,Y,P,N,47767,,0,,47767,,25093,,2151,,27244,,1524706,,3602642,,3266530,,336112,,,,9536,,7877,,5875,,732,,1108,,,,,,,
IL,Illinois,202203,Y,U,Y,47767,,0,,47767,,25093,,2151,,27244,,1524706,,3602642,,3266530,,336112,,,,9536,,7877,,5875,,732,,1108,,,,,,,
IL,Illinois,202204,Y,P,N,43222,,0,,43222,,21668,,1577,,23245,,1528547,,3617664,,3280469,,337195,,,,8439,,6803,,4855,,526,,572,,,,,,,
IL,Illinois,202204,Y,U,Y,43222,,0,,43222,,21668,,1577,,23245,,1528547,,3617664,,3280469,,337195,,,,8439,,6803,,4855,,526,,572,,,,,,,
IL,Illinois,202205,Y,P,N,44133,,0,,44133,,21391,,1633,,23024,,1531857,,3634453,,3296138,,338315,,,,7842,,6903,,4904,,603,,534,,,,,,,
IL,Illinois,202205,Y,U,Y,44133,,0,,44133,,21391,,1633,,23024,,1531857,,3634453,,3296138,,338315,,,,7842,,6903,,4904,,603,,534,,,,,,,
IL,Illinois,202206,Y,P,N,47843,,0,,47843,,23062,,1746,,24808,,1536340,,3652784,,3313334,,339450,,,,7334,,8447,,5694,,681,,595,,,,,,,
IL,Illinois,202206,Y,U,Y,47843,,0,,47843,,23062,,1746,,24808,,1536340,,3652784,,3313334,,339450,,,,7334,,8447,,5694,,681,,595,,,,,,,
IL,Illinois,202207,Y,P,N,55308,,0,,55308,,24248,,2051,,26299,,1543590,,3675203,,3334260,,340943,,,,7871,,9024,,6489,,833,,500,,,,,,,
IL,Illinois,202207,Y,U,Y,55308,,0,,55308,,24248,,2051,,26299,,1543590,,3675203,,3334260,,340943,,,,7871,,9024,,6489,,833,,500,,,,,,,
IL,Illinois,202208,Y,P,N,62224,,0,,62224,,28779,,2659,,31438,,1550339,,3703488,,3368621,,334867,,,,9130,,11058,,8072,,1151,,718,,,,,,,
IL,Illinois,202208,Y,U,Y,62224,,0,,62224,,28779,,2659,,31438,,1550339,,3703488,,3368621,,334867,,,,9130,,11058,,8072,,1151,,718,,,,,,,
IL,Illinois,202209,Y,P,N,55016,,0,,55016,,26288,,2232,,28520,,1554639,,3722306,,3386032,,336274,,,,8190,,9887,,6930,,1282,,813,,,,,,,
IL,Illinois,202209,Y,U,Y,55016,,0,,55016,,26288,,2232,,28520,,1554639,,3722306,,3386032,,336274,,,,8190,,9887,,6930,,1282,,813,,,,,,,
IL,Illinois,202210,Y,P,N,55216,,0,,55216,,25923,,2277,,28200,,1556728,,3735580,,3398265,,337315,,,,8407,,8985,,6919,,1226,,922,,,,,,,
IL,Illinois,202210,Y,U,Y,55216,,0,,55216,,25923,,2277,,28200,,1556728,,3735580,,3398265,,337315,,,,8407,,8985,,6919,,1226,,922,,,,,,,
IL,Illinois,202211,Y,P,N,44701,,0,,44701,,23876,,2856,,26732,,1561192,,3759229,,3419471,,339758,,,,8368,,7587,,7594,,1181,,1028,,,,,,,
IL,Illinois,202211,Y,U,Y,44701,,0,,44701,,23876,,2856,,26732,,1561192,,3759229,,3419471,,339758,,,,8368,,7587,,7594,,1181,,1028,,,,,,,
IL,Illinois,202212,Y,P,N,43360,,0,,43360,,26259,,3515,,29774,,1566918,,3788584,,3446137,,342447,,,,8730,,10473,,10441,,1992,,1675,,,,,,,
IL,Illinois,202212,Y,U,Y,43360,,0,,43360,,26259,,3515,,29774,,1566918,,3788584,,3446137,,342447,,,,8730,,10473,,10441,,1992,,1675,,,,,,,
IL,Illinois,202301,Y,P,N,49534,,0,,49534,,26885,,2855,,29740,,1568138,,3800055,,3456508,,343547,,,,9148,,9457,,7467,,4183,,2429,,,,,,,
IL,Illinois,202301,Y,U,Y,49534,,0,,49534,,26885,,2855,,29740,,1571285,,3808385,,3463814,,344571,,,,9148,,9457,,7467,,4183,,2429,,,,,,,
IL,Illinois,202302,Y,P,N,39750,,0,,39750,,25056,,2369,,27425,,1571953,,3810186,,3464879,,345307,,,,8210,,6865,,6486,,3521,,3354,,,,,,,
IL,Illinois,202302,Y,U,Y,39750,,0,,39750,,25056,,2369,,27425,,1575398,,3818769,,3472883,,345886,,,,8210,,6865,,6486,,3521,,3354,,,,,,,
IL,Illinois,202303,Y,P,N,44391,,0,,44391,,24793,,2127,,26920,,1574263,,3817674,,3471258,,346416,,,,8882,,8172,,5443,,795,,3007,,172227,"Does not include all calls received after business hours; Includes calls for other benefit programs",11,"Does not include all calls received after business hours; Includes calls for other benefit programs; Includes only calls transferred to a live agent",0.280,"Does not include all calls received after business hours; Includes calls for other benefit programs; Includes only calls transferred to a live agent"
IL,Illinois,202303,Y,U,Y,44391,,0,,44391,,24793,,2127,,26920,,1577632,,3826461,,3479696,,346765,,,,8882,,8172,,5443,,795,,3007,,172227,"Does not include all calls received after business hours; Includes calls for other benefit programs",11,"Does not include all calls received after business hours; Includes calls for other benefit programs; Includes only calls transferred to a live agent",0.280,"Does not include all calls received after business hours; Includes calls for other benefit programs; Includes only calls transferred to a live agent"
IL,Illinois,202304,Y,P,N,40189,,0,,40189,,20535,,1768,,22303,,1577019,,3831026,,3484085,,346941,,,,7169,,7086,,5008,,698,,1341,,115971,"Does not include all calls received after business hours",10,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.284,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202304,Y,U,Y,40189,,0,,40189,,20535,,1768,,22303,,1580955,,3839112,,3492850,,346262,,,,7169,,7086,,5008,,698,,1341,,115971,"Does not include all calls received after business hours",10,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.284,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
