ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,FIPS 2022,CBSA 2023,RUCA,PAY TYPE,FORHP RURAL 2024,POS CERT BEDS,POS TOT BEDS,CR ACUTE BEDS,PSF BEDS
390093,CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,8142269500,42031,Neither,10.0,SCH/RRC,Rural,60,67,59.0,49.0
390104,UPMC KANE,4372 ROUTE 6,KANE,PA,16735,8148378585,42083,Micro,7.0,SCH,Rural,26,31,18.0,30.0
390112,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,600 SOMERSET AVENUE,WINDBER,PA,15963,8144673000,42111,Micro,1.0,MDH,Rural,48,54,47.0,43.0
390113,MEADVILLE MEDICAL CENTER,751 LIBERTY STREET,MEADVILLE,PA,16335,8143335000,42039,Micro,4.0,SCH/RRC,Rural,189,203,200.0,145.0
390117,UPMC BEDFORD MEMORIAL,10455 LINCOLN HIGHWAY,EVERETT,PA,15537,8146236161,42009,Neither,10.0,SCH,Rural,45,49,36.0,36.0
390125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,HONESDALE,PA,18431,5702538100,42127,Neither,7.0,SCH,Rural,98,106,92.0,80.0
390138,WELLSPAN WAYNESBORO HOSPITAL,501 EAST MAIN ST,WAYNESBORO,PA,17268,7177654000,42055,Metro,4.0,MDH/RRC,Rural,47,57,57.0,47.0
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,8147233300,42123,Micro,4.0,PPS,Rural,69,85,85.0,80.0
390150,UPMC GREENE,350 BONAR AVENUE,WAYNESBURG,PA,15370,7246272602,42059,Neither,7.0,MDH,Rural,18,18,18.0,15.0
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,7245438500,42005,Metro,4.0,RRC,Rural,123,154,95.0,107.0
390168,INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA,ONE HOSPITAL WAY,BUTLER,PA,16001,7242836666,42019,Metro,4.0,PPS,Rural,266,294,273.0,261.0
390173,INDIANA REGIONAL MEDICAL CENTER,835 HOSPITAL ROAD,INDIANA,PA,15701,7243577000,42063,Micro,4.0,SCH,Rural,166,166,134.0,96.0
390178,UPMC HORIZON,110 NORTH MAIN STREET,GREENVILLE,PA,16125,7245882100,42085,Micro,4.0,PPS,Rural,157,201,105.0,110.0
390183,ST LUKE'S MINERS MEMORIAL HOSPITAL,360 W RUDDLE STREET,COALDALE,PA,18218,5706452131,42107,Micro,4.0,MDH,Rural,43,49,49.0,46.0
390184,PENN HIGHLANDS CONNELLSVILLE,401 EAST MURPHY AVENUE,CONNELLSVILLE,PA,15425,7246281500,42051,Metro,1.0,PPS,Rural,61,61,61.0,59.0
390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,PUNXSUTAWNEY,PA,15767,8149381800,42065,Neither,8.0,SCH,Rural,44,49,44.0,37.0
390201,LEHIGH VALLEY HOSPITAL - POCONO,206 EAST BROWN STREET,EAST STROUDSBURG,PA,18301,5704214000,42089,Micro,1.0,PPS,Rural,217,264,237.0,212.0
390211,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,SHARON,PA,16146,7249833911,42085,Micro,1.0,RRC,Rural,193,220,150.0,160.0
390266,GROVE CITY HOSPITAL,631 NORTH BROAD STREET EXT.,GROVE CITY,PA,16127,7244507000,42085,Micro,4.0,MDH,Rural,60,67,67.0,64.0
390307,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,PA,16154,7246460400,42085,Micro,4.0,PPS,Rural,10,10,10.0,10.0
390330,ST LUKE'S HOSPITAL - MONROE CAMPUS,100 ST LUKE'S LANE,STROUDSBURG,PA,18360,2722121000,42089,Micro,1.0,PPS,Rural,86,98,98.0,85.0
390332,GEISINGER ST. LUKE'S  HOSPITAL,100 PARAMOUNT BOULEVARD,ORWIGSBURG,PA,17961,2726394990,42107,Micro,5.0,PPS,Rural,54,60,60.0,37.0
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,5703082475,42081,Metro,7.0,PPS,Rural,20,20,20.0,20.0
391301,UPMC MUNCY,215 EAST WATER STREET,MUNCY,PA,17756,5705468282,42081,Metro,7.0,CAH,Rural,20,20,20.0,
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,8146345911,42111,Micro,7.0,CAH,Rural,20,20,20.0,
391303,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,7174853155,42057,Neither,10.0,CAH,Rural,19,21,21.0,
391304,BUCKTAIL MEDICAL CENTER,1001 PINE STREET,RENOVO,PA,17764,5709231000,42035,Micro,10.0,CAH,Rural,16,16,16.0,
391305,TROY COMMUNITY HOSPITAL,275 GUTHRIE DRIVE,TROY,PA,16947,5702972121,42015,Micro,10.0,CAH,Rural,25,25,25.0,
391306,ENDLESS MOUNTAINS HEALTH SYSTEMS,100 HOSPITAL DRIVE,MONTROSE,PA,18801,5702783801,42115,Neither,10.0,CAH,Rural,25,25,25.0,
391308,LECOM HEALTH CORRY MEMORIAL HOSPITAL,965 SHAMROCK LANE,CORRY,PA,16407,8146644641,42049,Metro,7.0,CAH,Rural,20,20,20.0,
391309,BARNES-KASSON COUNTY HOSPITAL,2872 TURNPIKE STREET,SUSQUEHANNA,PA,18847,5708533135,42115,Neither,2.0,CAH,Rural,21,25,25.0,
391312,PENN HIGHLANDS BROOKVILLE,100 HOSPITAL ROAD,BROOKVILLE,PA,15825,8148492312,42065,Neither,7.0,CAH,Rural,35,35,25.0,
391313,UPMC COLE,1001 EAST SECOND STREET,COUDERSPORT,PA,16915,8142749301,42105,Neither,10.0,CAH,Rural,25,49,25.0,
391314,TITUSVILLE AREA HOSPITAL,406 WEST OAK STREET,TITUSVILLE,PA,16354,8148271851,42039,Micro,7.0,CAH,Rural,21,25,25.0,
391315,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,SAINT MARYS,PA,15857,8147888000,42047,Micro,7.0,CAH,Rural,25,40,25.0,
391316,UPMC WELLSBORO,32-36 CENTRAL AVENUE,WELLSBORO,PA,16901,5707237764,42117,Neither,10.0,CAH,Rural,20,39,25.0,
391317,CONEMAUGH MINERS MEDICAL CENTER,290 HAIDA AVENUE,HASTINGS,PA,16646,8142473100,42021,Metro,7.0,CAH,Rural,20,20,25.0,
